ID,agot1,agot2,agot3,eng1,eng2,eng3,iab1,iab2,iab3,age,exp,emp,rol,gnr,suc
349,5,2,4,1,2,5,1,5,2,61,36,34,Profesional,Masculino,Sur
350,4,2,4,3,2,5,1,5,2,22,13,2,Técnico,Femenino,Sur
351,1,4,1,4,5,4,3,4,2,59,39,4,Técnico,Femenino,Centro
352,5,1,4,1,1,5,2,4,3,62,44,43,Profesional,Otro,Sur
353,5,1,4,2,1,5,4,3,4,34,29,12,Profesional,Femenino,Sur
354,4,3,4,1,3,6,4,2,3,50,28,2,Profesional,Otro,Sur
355,3,4,2,4,2,3,4,3,5,47,41,19,Técnico,Otro,Centro
356,3,4,3,4,4,4,4,3,3,38,13,9,Profesional,Masculino,Centro
357,3,4,3,2,3,6,2,4,2,19,3,2,Profesional,Masculino,Sur
358,4,3,3,4,3,4,2,4,3,49,37,2,Técnico,Femenino,Sur
359,4,2,3,1,2,6,4,2,3,59,37,27,Técnico,Otro,Sur
360,4,2,3,3,1,5,3,4,2,55,33,19,Técnico,Femenino,Centro
361,3,2,3,3,3,4,4,3,4,39,22,5,Administrativo,Masculino,Sur
362,2,3,3,5,4,2,5,2,4,58,39,20,Técnico,Masculino,Centro
363,3,4,2,2,2,4,4,3,4,52,36,21,Técnico,Masculino,Sur
364,5,2,5,3,1,5,1,4,2,43,36,15,Profesional,Otro,Sur
365,3,4,2,4,2,2,4,2,3,58,47,37,Técnico,Femenino,Sur
366,5,2,4,2,1,6,4,3,3,54,45,41,Técnico,Masculino,Centro
367,3,4,3,2,2,4,5,1,4,46,44,38,Profesional,Masculino,Sur
368,5,2,5,1,3,5,1,5,2,20,1,0,Profesional,Masculino,Centro
369,4,3,5,2,4,4,3,4,3,32,8,5,Profesional,Femenino,Sur
370,1,4,2,4,6,2,4,3,4,46,43,32,Técnico,Masculino,Centro
371,3,4,4,4,3,4,2,4,3,31,16,12,Técnico,Otro,Centro
372,3,3,4,2,4,6,4,3,4,54,37,37,Administrativo,Masculino,Sur
373,5,1,5,1,1,6,1,4,2,20,2,1,Técnico,Femenino,Sur
374,4,2,3,4,2,3,2,4,3,19,13,13,Profesional,Masculino,Centro
375,4,2,5,3,4,3,2,3,1,43,22,9,Profesional,Masculino,Sur
376,1,5,1,5,6,1,1,4,2,37,26,1,Profesional,Masculino,Centro
377,5,1,5,2,2,5,1,5,1,44,39,18,Administrativo,Masculino,Centro
378,5,1,4,1,2,6,2,4,2,41,41,16,Técnico,Otro,Centro
379,5,2,4,2,2,4,4,3,5,25,19,13,Administrativo,Masculino,Sur
380,2,5,3,3,5,3,3,2,2,48,34,21,Profesional,Femenino,Centro
381,4,2,5,2,3,4,2,4,2,29,14,11,Técnico,Femenino,Sur
382,1,5,2,4,6,4,4,1,4,55,42,25,Técnico,Otro,Centro
383,5,2,5,2,1,4,2,3,3,51,29,23,Profesional,Masculino,Sur
384,5,1,5,2,3,6,1,5,1,55,40,34,Administrativo,Masculino,Sur
385,3,3,4,3,3,5,4,2,4,56,44,29,Profesional,Masculino,Centro
386,5,2,5,2,2,4,1,5,2,49,43,33,Profesional,Otro,Centro
387,4,1,3,2,3,6,2,3,3,54,34,20,Profesional,Femenino,Centro
388,3,4,3,4,4,2,4,1,5,57,44,43,Técnico,Masculino,Sur
389,3,2,2,4,2,2,5,1,5,41,38,29,Técnico,Otro,Centro
390,5,1,5,2,1,5,2,3,3,45,31,31,Profesional,Otro,Sur
391,4,1,4,2,2,6,4,1,5,47,41,27,Administrativo,Femenino,Sur
392,5,1,4,2,1,6,4,3,3,44,40,36,Profesional,Femenino,Centro
393,2,5,3,4,5,2,5,1,4,45,36,36,Técnico,Otro,Centro
394,4,2,5,2,3,5,2,4,1,44,35,11,Profesional,Femenino,Sur
395,4,2,5,3,3,3,1,4,1,32,16,1,Técnico,Masculino,Sur
396,4,3,5,2,3,4,4,1,4,43,38,20,Administrativo,Femenino,Centro
397,5,2,5,1,1,5,4,2,3,49,44,43,Técnico,Masculino,Sur
398,1,5,2,6,5,2,4,1,4,53,42,18,Profesional,Masculino,Centro
399,5,2,4,1,3,5,3,2,3,56,43,43,Profesional,Femenino,Sur
400,4,1,4,3,3,3,2,3,2,18,8,4,Profesional,Otro,Sur
401,2,5,3,4,3,4,5,1,5,33,12,7,Técnico,Femenino,Centro
402,4,2,4,3,2,5,5,1,4,59,44,43,Profesional,Otro,Centro
403,4,2,5,2,4,4,2,3,1,46,40,37,Administrativo,Femenino,Centro
404,1,4,2,4,6,3,5,1,5,47,35,13,Administrativo,Femenino,Centro
405,4,1,3,1,3,6,4,2,4,42,37,29,Administrativo,Masculino,Centro
406,3,3,4,5,4,2,1,4,2,28,8,7,Técnico,Masculino,Sur
407,5,1,5,2,3,6,1,5,2,62,44,41,Técnico,Otro,Centro
408,2,5,2,3,3,4,2,3,2,31,9,4,Profesional,Otro,Centro
409,4,2,3,2,1,6,4,2,4,48,34,20,Técnico,Femenino,Sur
410,4,3,3,4,2,3,1,4,2,46,34,19,Técnico,Masculino,Sur
411,5,2,5,2,3,6,2,5,2,61,38,31,Administrativo,Femenino,Sur
412,2,5,1,5,4,1,3,4,4,34,10,4,Profesional,Masculino,Centro
413,3,3,2,3,3,3,4,2,4,60,36,6,Administrativo,Femenino,Centro
414,4,1,5,2,1,5,5,1,4,56,45,31,Técnico,Otro,Centro
415,4,3,5,1,1,5,4,3,4,28,3,0,Profesional,Otro,Sur
416,5,2,4,2,2,6,2,4,1,42,33,27,Técnico,Otro,Centro
417,2,3,1,3,5,3,3,3,3,20,1,1,Profesional,Masculino,Centro
418,5,2,5,1,1,6,1,4,1,53,43,13,Profesional,Femenino,Centro
419,5,1,5,2,2,6,4,1,5,39,31,9,Profesional,Otro,Sur
420,1,4,2,6,5,1,1,4,1,39,18,14,Administrativo,Otro,Sur
421,1,4,2,5,5,1,2,4,2,32,9,6,Profesional,Femenino,Sur
422,2,4,3,4,6,3,2,4,1,39,30,4,Profesional,Femenino,Centro
423,4,3,3,3,2,5,1,5,1,41,27,5,Profesional,Masculino,Sur
424,5,2,5,2,1,6,2,3,1,52,29,28,Profesional,Femenino,Sur
425,4,1,5,3,3,4,2,3,3,31,9,7,Profesional,Otro,Sur
426,3,2,3,4,4,2,5,1,4,48,39,38,Técnico,Otro,Centro
427,5,2,4,1,1,6,2,5,2,37,28,22,Profesional,Masculino,Sur
428,3,2,4,3,3,4,4,1,4,44,35,14,Técnico,Femenino,Centro
429,4,1,5,2,4,4,3,4,2,38,36,9,Administrativo,Otro,Centro
430,5,2,4,2,2,4,4,3,4,34,14,3,Profesional,Masculino,Sur
431,4,1,4,2,3,6,3,3,4,34,33,15,Administrativo,Masculino,Centro
432,5,2,4,1,1,5,5,2,4,52,45,28,Profesional,Masculino,Centro
433,3,2,2,4,4,3,3,4,3,28,24,1,Técnico,Otro,Sur
434,5,2,5,3,2,5,2,3,1,40,17,17,Profesional,Femenino,Sur
435,1,5,2,4,4,4,5,1,4,50,45,37,Técnico,Femenino,Centro
436,3,4,4,3,2,5,4,3,4,33,19,11,Profesional,Femenino,Centro
437,5,1,5,3,1,5,2,4,2,37,25,17,Profesional,Otro,Sur
438,4,2,5,4,3,3,1,4,1,25,17,16,Profesional,Masculino,Sur
439,5,1,5,2,2,5,1,5,1,60,37,34,Profesional,Otro,Centro
440,3,4,2,5,5,1,1,4,1,27,8,3,Técnico,Otro,Sur
441,2,5,2,3,4,4,4,3,3,48,43,39,Técnico,Masculino,Centro
442,4,3,4,2,3,5,2,4,2,45,45,30,Profesional,Otro,Centro
443,5,2,4,2,1,6,5,1,4,53,39,27,Administrativo,Masculino,Centro
444,1,4,1,6,5,1,1,5,1,26,19,4,Técnico,Masculino,Centro
445,3,2,2,2,2,5,1,5,2,39,19,11,Técnico,Otro,Sur
446,3,3,4,2,4,6,5,1,4,38,16,16,Administrativo,Femenino,Centro
447,3,3,4,2,3,5,4,2,4,53,41,23,Profesional,Masculino,Sur
448,4,3,5,2,3,4,2,3,2,30,8,7,Técnico,Otro,Sur
449,4,3,4,2,2,4,2,4,1,50,28,5,Técnico,Femenino,Centro
450,4,1,5,4,3,4,2,5,1,30,27,10,Administrativo,Femenino,Sur
451,4,3,3,4,3,3,1,5,1,53,41,22,Administrativo,Masculino,Sur
452,5,1,5,1,2,6,5,2,4,46,35,30,Profesional,Masculino,Centro
453,2,3,1,4,4,4,4,2,3,53,41,33,Administrativo,Masculino,Centro
454,5,2,4,3,3,3,1,5,2,38,28,14,Administrativo,Otro,Sur
455,3,2,2,2,4,4,3,4,4,43,34,26,Técnico,Femenino,Sur
456,5,1,5,2,1,5,4,2,3,47,43,4,Administrativo,Masculino,Centro
457,5,1,5,2,1,4,2,3,3,40,31,22,Profesional,Otro,Centro
458,5,2,4,1,1,5,1,4,1,28,28,20,Administrativo,Masculino,Centro
459,5,1,5,1,1,5,1,4,2,47,35,14,Técnico,Femenino,Centro
460,3,3,3,4,2,4,2,5,1,56,40,39,Profesional,Masculino,Sur
461,2,4,1,4,4,2,1,5,1,20,11,11,Técnico,Femenino,Sur
462,4,2,4,1,2,5,5,2,5,58,40,28,Técnico,Otro,Centro
463,2,5,1,4,3,3,5,2,5,58,37,6,Profesional,Femenino,Centro
464,4,3,3,3,2,5,4,2,4,41,30,24,Profesional,Masculino,Sur
465,5,2,5,1,2,6,4,3,4,37,13,1,Técnico,Femenino,Centro
466,1,5,2,5,6,2,2,4,1,39,20,19,Administrativo,Femenino,Sur
467,4,3,5,3,2,3,3,3,4,59,34,29,Técnico,Masculino,Sur
468,3,4,2,2,2,6,5,1,5,53,44,37,Técnico,Masculino,Centro
469,5,2,4,1,1,5,2,4,3,38,24,18,Profesional,Femenino,Sur
470,3,2,3,3,2,5,4,3,3,52,44,33,Administrativo,Femenino,Centro
471,1,5,1,4,5,3,5,1,4,44,42,32,Profesional,Otro,Centro
472,3,4,2,5,5,3,1,4,2,35,12,9,Técnico,Otro,Sur
473,1,5,1,4,5,4,3,4,3,39,27,26,Técnico,Otro,Sur
474,4,3,3,2,4,6,2,5,2,20,3,0,Profesional,Otro,Centro
475,5,1,5,2,1,6,4,1,4,46,40,10,Administrativo,Femenino,Sur
476,3,3,4,2,4,6,5,1,5,51,33,4,Técnico,Otro,Sur
477,4,2,4,1,2,6,4,1,5,60,44,15,Profesional,Masculino,Centro
478,3,2,3,4,4,2,4,1,5,24,24,13,Técnico,Masculino,Sur
479,5,2,5,2,1,6,5,1,5,43,27,1,Administrativo,Femenino,Centro
480,5,2,4,2,2,6,4,2,3,41,20,2,Técnico,Masculino,Centro
481,4,1,3,2,2,4,4,1,4,47,27,6,Profesional,Femenino,Centro
482,3,4,3,4,2,3,4,3,5,25,2,0,Técnico,Otro,Centro
483,2,3,3,5,5,1,5,2,4,47,39,32,Profesional,Masculino,Centro
484,4,2,3,2,2,6,2,3,3,55,43,26,Técnico,Femenino,Centro
485,5,2,5,2,1,6,4,1,5,24,3,2,Técnico,Femenino,Sur
486,5,2,4,2,3,6,1,5,2,31,8,6,Profesional,Masculino,Sur
487,3,2,2,4,3,4,4,3,5,48,44,40,Administrativo,Masculino,Centro
488,5,1,5,2,2,5,3,3,3,47,37,37,Administrativo,Otro,Sur
489,4,3,4,1,1,5,4,1,4,53,42,20,Técnico,Masculino,Sur
490,2,5,3,3,4,5,3,2,4,61,45,28,Administrativo,Otro,Centro
491,3,3,2,4,3,2,3,3,3,55,44,43,Administrativo,Femenino,Sur
492,3,4,3,4,4,3,4,3,5,55,44,21,Técnico,Femenino,Centro
493,3,4,3,3,3,5,5,2,5,48,36,33,Profesional,Femenino,Sur
494,4,2,5,4,3,4,2,5,3,52,40,36,Técnico,Masculino,Sur
495,5,1,4,2,2,6,4,1,5,54,38,31,Técnico,Otro,Centro
496,3,4,2,3,4,4,5,1,5,58,36,21,Técnico,Otro,Sur
497,3,3,3,3,2,3,2,4,2,49,28,17,Profesional,Femenino,Centro
498,5,2,5,1,1,5,5,1,5,41,29,18,Técnico,Femenino,Centro
499,4,3,5,1,3,6,4,1,3,51,39,28,Técnico,Masculino,Centro
500,5,2,5,1,2,5,5,1,4,51,41,25,Profesional,Otro,Sur
501,3,3,4,3,3,3,5,2,5,50,37,0,Administrativo,Masculino,Centro
502,3,3,3,2,2,6,5,1,5,59,39,39,Técnico,Masculino,Centro
503,5,2,4,2,3,5,1,5,2,41,35,6,Profesional,Femenino,Sur
504,4,3,3,4,4,2,2,5,3,60,40,32,Profesional,Otro,Sur
505,5,2,5,1,3,6,2,3,1,59,44,10,Administrativo,Otro,Centro
506,3,3,3,2,3,5,4,1,3,61,44,28,Técnico,Masculino,Sur
507,4,1,3,4,3,3,1,4,2,36,30,11,Administrativo,Otro,Centro
508,4,2,5,3,3,4,3,4,4,46,21,17,Profesional,Femenino,Sur
509,5,1,4,2,3,6,1,4,1,48,29,8,Técnico,Otro,Sur
510,4,2,3,2,2,4,1,4,2,59,42,8,Profesional,Masculino,Sur
511,5,2,4,1,2,5,2,5,3,54,30,27,Técnico,Femenino,Sur
512,4,1,5,1,3,5,2,5,1,43,34,3,Técnico,Femenino,Sur
513,5,2,5,2,1,6,2,4,1,43,42,5,Profesional,Otro,Sur
514,5,2,4,3,2,5,2,5,1,56,34,11,Administrativo,Masculino,Sur
515,5,1,5,2,1,5,4,3,5,19,15,14,Administrativo,Otro,Sur
516,5,1,4,1,1,6,2,3,3,20,11,4,Profesional,Femenino,Centro
517,5,2,5,2,2,6,4,2,3,53,41,24,Profesional,Masculino,Centro
518,5,1,5,1,1,5,4,1,4,35,10,0,Técnico,Masculino,Centro
519,5,1,4,1,2,6,2,4,2,26,22,17,Profesional,Masculino,Sur
520,3,4,3,4,3,2,3,4,4,64,40,40,Técnico,Masculino,Centro
521,4,1,4,2,4,4,3,3,2,53,32,17,Administrativo,Otro,Centro
522,4,1,4,2,1,6,4,1,4,46,39,32,Administrativo,Masculino,Sur
523,3,4,2,4,4,4,4,3,5,56,38,16,Técnico,Femenino,Centro
524,1,4,1,5,5,2,4,3,5,47,35,33,Profesional,Masculino,Centro
525,5,1,5,1,1,5,1,4,1,48,35,35,Administrativo,Otro,Centro
526,2,5,2,3,3,3,4,3,4,60,44,14,Administrativo,Masculino,Centro
527,1,5,1,4,4,2,5,2,5,18,18,9,Profesional,Masculino,Centro
528,4,3,3,2,3,5,2,4,2,45,20,18,Profesional,Otro,Sur
529,4,3,4,2,1,5,5,2,4,63,45,38,Técnico,Femenino,Sur
530,2,5,1,3,5,5,4,3,4,57,42,2,Administrativo,Otro,Centro
531,3,4,4,3,3,4,2,3,3,44,41,35,Técnico,Masculino,Sur
532,3,3,3,3,4,3,4,3,5,38,29,15,Técnico,Otro,Sur
533,5,1,5,1,2,6,4,3,5,56,43,2,Técnico,Otro,Centro
534,2,3,1,3,4,5,4,1,3,44,35,7,Técnico,Femenino,Centro
535,4,2,3,3,2,3,2,3,3,45,41,22,Administrativo,Femenino,Sur
536,3,2,3,4,3,2,4,1,5,34,10,1,Profesional,Masculino,Centro
537,5,2,5,3,1,3,2,4,2,47,43,37,Técnico,Femenino,Sur
538,2,4,3,4,5,4,4,3,3,41,18,18,Profesional,Otro,Centro
539,1,5,1,5,5,1,5,1,5,35,15,13,Profesional,Masculino,Centro
540,3,4,4,2,4,5,5,1,4,57,39,33,Técnico,Otro,Centro
541,4,2,4,3,1,4,5,1,5,34,34,6,Profesional,Otro,Sur
542,5,1,4,1,1,5,5,1,5,49,36,19,Técnico,Masculino,Centro
543,4,3,3,2,1,5,4,3,4,24,21,18,Técnico,Masculino,Sur
544,5,1,4,2,1,5,1,5,1,46,39,19,Profesional,Femenino,Centro
545,5,2,4,1,2,5,4,1,3,18,1,0,Profesional,Otro,Sur
546,2,5,1,3,5,5,4,3,4,45,42,14,Profesional,Masculino,Centro
547,4,1,5,2,3,5,1,5,1,42,18,3,Técnico,Femenino,Sur
548,3,4,4,4,4,3,4,3,4,43,32,31,Profesional,Otro,Centro
549,3,3,3,2,4,6,5,1,5,49,26,22,Profesional,Masculino,Centro
550,5,1,4,1,2,5,4,2,3,22,21,21,Técnico,Masculino,Centro
551,5,2,5,1,1,6,2,5,2,51,41,35,Profesional,Otro,Centro
552,5,2,4,1,1,6,1,5,2,23,0,0,Profesional,Femenino,Sur
553,4,2,5,3,3,3,2,3,1,53,37,35,Técnico,Masculino,Sur
554,4,2,4,1,3,5,2,4,2,36,23,0,Profesional,Otro,Centro
555,5,2,4,1,1,6,2,4,1,58,38,4,Profesional,Femenino,Centro
556,5,1,4,3,3,4,3,2,2,24,0,0,Técnico,Femenino,Sur
557,4,2,4,1,3,6,4,1,3,39,27,17,Administrativo,Otro,Centro
558,2,3,1,3,5,4,4,1,3,53,40,36,Administrativo,Femenino,Centro
559,2,3,3,3,4,3,4,3,4,26,21,13,Técnico,Masculino,Centro
560,1,5,1,6,4,2,4,2,3,47,42,38,Técnico,Masculino,Centro
561,4,2,4,2,2,6,5,1,5,54,42,41,Profesional,Femenino,Sur
562,5,2,5,1,1,5,5,2,5,62,45,44,Técnico,Otro,Sur
563,5,2,4,3,3,4,2,3,2,46,35,8,Profesional,Otro,Sur
564,5,1,5,1,2,5,1,5,1,57,39,38,Técnico,Otro,Centro
565,3,4,4,3,3,3,1,4,2,31,25,24,Técnico,Masculino,Centro
566,4,2,5,2,1,5,5,1,4,57,39,37,Profesional,Femenino,Centro
567,5,1,4,2,1,6,1,5,1,51,39,15,Administrativo,Femenino,Centro
568,4,3,4,4,3,2,3,4,4,35,34,29,Administrativo,Otro,Centro
569,4,3,5,3,3,3,5,1,4,41,40,31,Profesional,Femenino,Sur
570,5,2,5,1,3,5,1,4,2,61,45,27,Técnico,Otro,Centro
571,5,2,4,1,1,6,2,4,2,22,11,9,Administrativo,Otro,Sur
572,4,3,3,1,1,5,5,2,4,38,21,3,Profesional,Otro,Sur
573,3,3,3,2,4,6,4,3,4,33,22,19,Técnico,Femenino,Centro
574,4,3,5,2,2,4,2,4,1,26,21,15,Técnico,Otro,Centro
575,3,2,3,3,3,3,4,2,4,30,18,15,Administrativo,Masculino,Sur
576,4,1,3,2,1,5,5,2,5,52,41,7,Profesional,Otro,Sur
577,4,3,3,2,4,4,3,2,2,59,38,28,Técnico,Masculino,Sur
578,3,3,2,2,4,5,4,3,3,31,6,5,Técnico,Femenino,Sur
579,1,4,1,4,5,3,4,3,4,47,45,12,Técnico,Femenino,Centro
580,5,2,5,2,3,5,2,3,3,56,42,32,Técnico,Femenino,Centro
581,5,2,4,1,1,6,2,5,2,33,12,10,Técnico,Otro,Sur
582,1,5,2,4,6,3,4,2,4,45,30,30,Profesional,Femenino,Centro
583,3,4,3,3,2,4,5,1,4,49,29,29,Administrativo,Femenino,Sur
584,3,3,2,2,3,4,4,3,4,37,34,33,Administrativo,Otro,Sur
585,3,2,2,2,2,5,1,5,1,60,36,36,Técnico,Femenino,Sur
586,4,3,4,3,2,4,2,5,1,36,23,11,Profesional,Masculino,Sur
587,2,4,2,5,4,1,5,1,4,39,23,23,Profesional,Masculino,Centro
588,4,3,5,1,2,6,4,3,5,59,37,34,Técnico,Otro,Centro
589,4,3,3,3,2,4,1,5,2,47,37,13,Administrativo,Femenino,Sur
590,2,3,3,4,3,4,4,2,4,49,41,5,Técnico,Masculino,Centro
591,4,2,4,1,2,6,4,1,3,25,5,0,Técnico,Otro,Centro
592,4,1,4,3,3,4,4,3,3,18,15,14,Profesional,Femenino,Centro
593,5,2,4,2,2,5,3,3,3,57,34,26,Técnico,Femenino,Sur
594,3,2,3,2,4,6,4,2,3,46,31,22,Administrativo,Otro,Centro
595,3,4,4,3,3,4,3,3,2,58,36,33,Profesional,Otro,Sur
596,2,3,2,3,5,4,4,1,3,49,25,2,Profesional,Masculino,Centro
597,4,3,3,3,4,5,3,4,2,48,45,27,Profesional,Femenino,Sur
598,3,3,3,3,4,3,5,2,5,19,0,0,Técnico,Femenino,Centro
599,1,4,2,4,6,2,4,2,5,32,29,2,Técnico,Femenino,Centro
600,4,1,3,1,2,5,5,1,5,21,10,5,Profesional,Otro,Sur
601,4,2,5,1,3,5,1,4,1,29,27,14,Administrativo,Femenino,Sur
602,5,2,5,1,2,6,4,1,5,53,43,42,Técnico,Masculino,Sur
603,3,2,4,2,3,4,4,1,5,59,38,30,Técnico,Otro,Centro
604,2,4,1,4,3,4,4,1,4,47,42,40,Técnico,Masculino,Centro
605,5,2,4,1,3,6,2,4,2,49,43,27,Técnico,Otro,Sur
606,5,1,4,2,1,5,4,2,4,32,31,5,Técnico,Masculino,Sur
607,1,4,2,4,6,3,4,2,3,22,0,0,Técnico,Masculino,Centro
608,3,4,2,3,4,3,5,1,5,38,16,1,Profesional,Otro,Sur
609,3,2,4,4,2,2,5,2,4,49,44,44,Profesional,Femenino,Sur
610,4,2,5,1,1,6,1,5,1,18,17,8,Técnico,Masculino,Centro
611,4,1,5,1,3,6,4,3,3,60,37,3,Profesional,Otro,Centro
612,5,1,5,1,3,6,2,4,3,54,35,25,Administrativo,Otro,Centro
613,3,4,3,2,4,6,4,1,4,57,43,31,Profesional,Femenino,Centro
614,5,2,4,1,1,6,2,5,3,58,37,22,Profesional,Masculino,Sur
615,4,2,3,3,1,4,5,1,4,29,26,24,Administrativo,Masculino,Sur
616,5,2,4,1,1,5,4,1,3,63,45,2,Profesional,Masculino,Centro
617,4,2,4,3,2,4,2,4,2,55,33,27,Administrativo,Femenino,Sur
618,5,2,5,2,1,4,2,5,1,49,26,23,Administrativo,Femenino,Sur
619,5,1,4,2,2,4,4,1,3,20,10,0,Profesional,Otro,Sur
620,3,4,3,2,3,5,5,2,5,50,27,15,Técnico,Masculino,Centro
621,5,1,5,2,1,5,4,3,3,48,37,23,Profesional,Femenino,Centro
622,5,2,4,2,2,5,3,4,4,39,38,12,Profesional,Otro,Centro
623,5,2,4,2,2,4,5,2,5,30,19,10,Administrativo,Femenino,Sur
624,3,4,3,3,4,4,4,1,4,24,1,1,Técnico,Otro,Centro
625,5,2,4,3,3,4,2,5,3,41,24,15,Administrativo,Otro,Sur
626,4,3,5,2,3,6,2,4,1,29,6,1,Técnico,Otro,Sur
627,4,1,4,2,2,6,2,4,3,44,44,23,Profesional,Masculino,Sur
628,4,1,3,3,3,3,4,1,5,48,43,23,Técnico,Otro,Centro
629,5,2,5,3,2,3,2,4,3,54,40,30,Profesional,Otro,Sur
630,4,1,3,2,1,6,4,2,4,22,15,6,Administrativo,Femenino,Sur
631,5,1,5,2,1,6,2,3,2,52,45,15,Técnico,Otro,Centro
632,3,4,2,4,3,4,4,1,4,46,45,44,Profesional,Femenino,Centro
633,5,1,5,2,2,5,1,4,1,25,18,16,Administrativo,Masculino,Sur
634,4,3,3,3,1,3,5,1,5,19,18,10,Profesional,Femenino,Sur
635,3,3,2,2,3,5,5,2,4,49,44,23,Técnico,Femenino,Sur
636,5,1,5,2,2,4,1,5,1,30,29,0,Profesional,Otro,Centro
637,4,1,5,2,3,4,5,1,5,52,45,44,Profesional,Masculino,Centro
638,3,4,3,2,3,4,4,2,3,59,45,43,Administrativo,Femenino,Sur
639,4,3,4,3,4,5,3,3,3,48,36,33,Técnico,Masculino,Sur
640,5,1,5,2,3,4,2,5,1,54,34,32,Profesional,Femenino,Centro
641,3,3,4,3,4,4,5,2,4,51,45,17,Técnico,Femenino,Sur
642,3,4,3,2,4,4,2,5,2,49,33,11,Técnico,Otro,Centro
643,5,2,5,2,2,4,4,2,4,45,34,2,Técnico,Otro,Centro
644,3,3,3,3,3,5,4,1,4,35,32,26,Administrativo,Femenino,Sur
645,2,4,3,3,3,4,3,3,2,55,43,41,Técnico,Masculino,Sur
646,5,1,5,1,1,5,5,2,4,28,4,1,Técnico,Femenino,Sur
647,5,1,5,1,1,5,1,5,2,54,34,30,Técnico,Femenino,Centro
648,3,3,3,4,2,4,4,3,3,47,30,23,Administrativo,Femenino,Centro
649,4,2,5,1,2,5,4,3,3,32,30,28,Administrativo,Otro,Sur
650,2,4,1,4,3,4,5,2,4,31,30,21,Profesional,Femenino,Sur
651,5,1,5,1,2,5,5,1,4,29,24,19,Administrativo,Otro,Centro
652,3,3,4,3,2,4,4,2,5,19,7,6,Técnico,Masculino,Centro
653,1,4,1,4,5,2,5,2,5,30,28,16,Administrativo,Masculino,Centro
654,3,4,3,4,2,4,2,5,1,55,43,41,Administrativo,Femenino,Sur
655,4,3,3,1,2,6,4,3,3,21,11,5,Técnico,Femenino,Sur
656,5,1,5,1,1,6,1,5,1,33,13,11,Técnico,Femenino,Sur
657,3,3,3,2,4,5,5,2,5,41,40,33,Profesional,Masculino,Sur
658,1,5,2,6,6,1,4,2,3,27,8,6,Técnico,Masculino,Centro
659,5,2,4,1,1,6,2,5,1,39,25,14,Profesional,Otro,Sur
660,1,4,2,6,5,2,4,2,3,52,35,35,Técnico,Masculino,Sur
661,2,4,2,3,5,3,4,3,4,55,45,32,Técnico,Femenino,Centro
662,5,2,5,2,1,4,1,4,1,35,17,15,Técnico,Otro,Centro
663,5,2,5,1,2,6,4,3,5,24,13,3,Técnico,Femenino,Sur
664,4,1,4,1,2,6,4,2,5,37,25,21,Profesional,Masculino,Centro
665,2,3,3,3,5,5,4,2,3,25,13,0,Profesional,Otro,Sur
666,3,3,2,2,3,6,3,2,3,62,44,12,Técnico,Femenino,Sur
667,3,2,2,3,3,3,4,1,4,23,21,3,Profesional,Masculino,Centro
668,2,4,3,4,4,2,4,1,4,26,24,7,Profesional,Femenino,Centro
669,1,5,2,4,6,4,4,3,4,28,3,2,Técnico,Femenino,Centro
670,5,2,5,2,1,6,4,2,5,32,11,4,Profesional,Femenino,Sur
671,5,2,4,1,2,5,1,4,2,36,26,7,Técnico,Otro,Centro
672,5,2,5,2,3,6,2,3,2,27,27,22,Profesional,Otro,Centro
673,3,3,4,4,2,4,3,3,2,59,42,33,Profesional,Femenino,Sur
674,5,1,5,1,1,6,2,3,3,31,12,6,Profesional,Masculino,Sur
675,2,4,2,4,5,4,3,3,4,47,40,13,Técnico,Femenino,Sur
676,5,2,4,1,2,6,4,1,4,52,36,34,Profesional,Femenino,Sur
677,4,1,5,3,2,4,4,1,4,21,19,19,Administrativo,Femenino,Sur
678,3,4,3,4,2,2,5,2,4,52,38,14,Profesional,Masculino,Sur
679,2,5,2,4,3,4,5,2,4,52,39,36,Profesional,Femenino,Sur
680,1,5,2,5,6,2,4,3,3,34,9,6,Técnico,Masculino,Sur
681,5,2,5,1,2,6,5,2,5,53,44,32,Profesional,Masculino,Sur
682,5,1,4,2,2,4,5,1,5,50,45,15,Profesional,Otro,Sur
683,2,3,2,4,5,2,5,1,5,40,37,25,Técnico,Femenino,Centro
684,5,2,5,2,1,6,4,2,4,54,35,31,Profesional,Femenino,Sur
685,4,1,5,2,2,5,1,4,2,46,45,24,Técnico,Masculino,Centro
686,4,2,3,1,2,6,4,1,5,32,13,11,Técnico,Otro,Sur
687,5,2,4,2,1,6,4,2,3,36,31,16,Profesional,Otro,Sur
688,4,3,3,2,1,5,4,1,5,27,7,6,Técnico,Masculino,Centro
689,3,3,4,2,2,5,1,5,2,29,10,9,Administrativo,Masculino,Centro
690,3,2,2,4,3,3,5,1,5,47,45,13,Profesional,Femenino,Sur
691,4,3,3,2,3,6,1,4,2,20,2,1,Técnico,Femenino,Sur
692,3,2,3,3,2,3,2,5,2,40,29,28,Técnico,Femenino,Sur
693,4,2,5,3,2,4,5,2,5,39,34,32,Técnico,Masculino,Centro
694,4,3,3,2,2,6,2,3,2,53,31,30,Profesional,Otro,Sur
695,5,1,5,2,1,6,1,4,1,49,36,32,Técnico,Otro,Sur
696,3,4,2,2,3,5,5,1,4,20,20,3,Técnico,Otro,Sur
697,5,2,4,2,1,4,1,5,2,48,35,31,Técnico,Masculino,Centro
